Exp.No,Speed (rpm),Feed (rev/min),Depth of cut (mm),Roughness1 (Rq)(µm)
1,1000,0.1,0.6,0.351
2,1000,0.1,0.6,0.31
3,1000,0.1,0.6,0.307
4,1000,0.1,0.6,0.316
5,1000,0.1,0.6,0.312
6,1000,0.1,1.2,0.791
7,1000,0.1,1.2,0.688
8,1000,0.1,1.2,0.778
9,1000,0.1,1.2,0.649
10,1000,0.1,1.2,0.672
11,1000,0.1,1.8,0.712
12,1000,0.1,1.8,0.719
13,1000,0.1,1.8,0.678
14,1000,0.1,1.8,0.648
15,1000,0.1,1.8,0.645
16,1000,0.2,0.6,1.95
17,1000,0.2,0.6,2.115
18,1000,0.2,0.6,2.055
19,1000,0.2,0.6,2.221
20,1000,0.2,0.6,2.198
21,1000,0.2,1.2,2.788
22,1000,0.2,1.2,2.807
23,1000,0.2,1.2,2.801
24,1000,0.2,1.2,2.767
25,1000,0.2,1.2,2.8
26,1000,0.2,1.8,3.094
27,1000,0.2,1.8,3.153
28,1000,0.2,1.8,3.108
29,1000,0.2,1.8,3.03
30,1000,0.2,1.8,2.953
31,1000,0.3,0.6,4.893
32,1000,0.3,0.6,4.69
33,1000,0.3,0.6,4.782
34,1000,0.3,0.6,4.925
35,1000,0.3,0.6,4.665
36,1000,0.3,1.2,3.979
37,1000,0.3,1.2,3.876
38,1000,0.3,1.2,3.716
39,1000,0.3,1.2,3.893
40,1000,0.3,1.2,3.782
41,1000,0.3,1.8,4.201
42,1000,0.3,1.8,4.243
43,1000,0.3,1.8,4.245
44,1000,0.3,1.8,4.234
45,1000,0.3,1.8,4.208
46,2000,0.1,0.6,4.614
47,2000,0.1,0.6,4.528
48,2000,0.1,0.6,4.524
49,2000,0.1,0.6,4.528
50,2000,0.1,0.6,4.516
51,2000,0.1,1.2,0.874
52,2000,0.1,1.2,0.874
53,2000,0.1,1.2,0.885
54,2000,0.1,1.2,0.895
55,2000,0.1,1.2,0.906
56,2000,0.1,1.8,0.879
57,2000,0.1,1.8,0.841
58,2000,0.1,1.8,0.823
59,2000,0.1,1.8,0.825
60,2000,0.1,1.8,0.821
61,2000,0.2,0.6,1.391
62,2000,0.2,0.6,1.382
63,2000,0.2,0.6,1.393
64,2000,0.2,0.6,1.377
65,2000,0.2,0.6,1.379
66,2000,0.2,1.2,1.844
67,2000,0.2,1.2,1.846
68,2000,0.2,1.2,1.821
69,2000,0.2,1.2,1.821
70,2000,0.2,1.2,1.812
71,2000,0.2,1.8,2.158
72,2000,0.2,1.8,2.136
73,2000,0.2,1.8,2.119
74,2000,0.2,1.8,2.109
75,2000,0.2,1.8,2.128
76,2000,0.3,0.6,1.845
77,2000,0.3,0.6,1.752
78,2000,0.3,0.6,1.739
79,2000,0.3,0.6,1.725
80,2000,0.3,0.6,1.752
81,2000,0.3,1.2,3.016
82,2000,0.3,1.2,4.037
83,2000,0.3,1.2,4.161
84,2000,0.3,1.2,4.187
85,2000,0.3,1.2,4.161
86,2000,0.3,1.8,3.711
87,2000,0.3,1.8,3.747
88,2000,0.3,1.8,3.764
89,2000,0.3,1.8,3.761
90,2000,0.3,1.8,3.757
91,3000,0.1,0.6,0.769
92,3000,0.1,0.6,0.674
93,3000,0.1,0.6,0.635
94,3000,0.1,0.6,0.655
95,3000,0.1,0.6,0.64
96,3000,0.1,1.2,1.309
97,3000,0.1,1.2,1.22
98,3000,0.1,1.2,1.205
99,3000,0.1,1.2,1.208
100,3000,0.1,1.2,1.22
101,3000,0.1,1.8,0.537
102,3000,0.1,1.8,0.503
103,3000,0.1,1.8,0.514
104,3000,0.1,1.8,0.495
105,3000,0.1,1.8,0.525
106,3000,0.2,0.6,2.687
107,3000,0.2,0.6,2.592
108,3000,0.2,0.6,2.599
109,3000,0.2,0.6,2.617
110,3000,0.2,0.6,2.592
111,3000,0.2,1.2,5.168
112,3000,0.2,1.2,5.109
113,3000,0.2,1.2,5.11
114,3000,0.2,1.2,5.103
115,3000,0.2,1.2,5.109
116,3000,0.2,1.8,1.776
117,3000,0.2,1.8,1.822
118,3000,0.2,1.8,1.836
119,3000,0.2,1.8,1.846
120,3000,0.2,1.8,1.836
121,3000,0.3,0.6,3.119
122,3000,0.3,0.6,3.135
123,3000,0.3,0.6,3.145
124,3000,0.3,0.6,3.127
125,3000,0.3,0.6,3.119
126,3000,0.3,1.2,3.203
127,3000,0.3,1.2,3.26
128,3000,0.3,1.2,3.255
129,3000,0.3,1.2,3.26
130,3000,0.3,1.2,3.26
131,3000,0.3,1.8,4.098
132,3000,0.3,1.8,4.076
133,3000,0.3,1.8,4.084
134,3000,0.3,1.8,4.081
135,3000,0.3,1.8,4.084
