Speed (rpm),Feed (rev/min),Depth of cut (mm)
1000,0.1,0.6
1000,0.1,0.6
1000,0.1,0.6
1000,0.1,0.6
1000,0.1,0.6
1000,0.1,1.2
1000,0.1,1.2
1000,0.1,1.2
1000,0.1,1.2
1000,0.1,1.2
1000,0.1,1.8
1000,0.1,1.8
1000,0.1,1.8
1000,0.1,1.8
1000,0.1,1.8
1000,0.2,0.6
1000,0.2,0.6
1000,0.2,0.6
1000,0.2,0.6
1000,0.2,0.6
1000,0.2,1.2
1000,0.2,1.2
1000,0.2,1.2
1000,0.2,1.2
1000,0.2,1.2
1000,0.2,1.8
1000,0.2,1.8
1000,0.2,1.8
1000,0.2,1.8
1000,0.2,1.8
1000,0.3,0.6
1000,0.3,0.6
1000,0.3,0.6
1000,0.3,0.6
1000,0.3,0.6
1000,0.3,1.2
1000,0.3,1.2
1000,0.3,1.2
1000,0.3,1.2
1000,0.3,1.2
1000,0.3,1.8
1000,0.3,1.8
1000,0.3,1.8
1000,0.3,1.8
1000,0.3,1.8
2000,0.1,0.6
2000,0.1,0.6
2000,0.1,0.6
2000,0.1,0.6
2000,0.1,0.6
2000,0.1,1.2
2000,0.1,1.2
2000,0.1,1.2
2000,0.1,1.2
2000,0.1,1.2
2000,0.1,1.8
2000,0.1,1.8
2000,0.1,1.8
2000,0.1,1.8
2000,0.1,1.8
2000,0.2,0.6
2000,0.2,0.6
2000,0.2,0.6
2000,0.2,0.6
2000,0.2,0.6
2000,0.2,1.2
2000,0.2,1.2
2000,0.2,1.2
2000,0.2,1.2
2000,0.2,1.2
2000,0.2,1.8
2000,0.2,1.8
2000,0.2,1.8
2000,0.2,1.8
2000,0.2,1.8
2000,0.3,0.6
2000,0.3,0.6
2000,0.3,0.6
2000,0.3,0.6
2000,0.3,0.6
2000,0.3,1.2
2000,0.3,1.2
2000,0.3,1.2
2000,0.3,1.2
2000,0.3,1.2
2000,0.3,1.8
2000,0.3,1.8
2000,0.3,1.8
2000,0.3,1.8
2000,0.3,1.8
3000,0.1,0.6
3000,0.1,0.6
3000,0.1,0.6
3000,0.1,0.6
3000,0.1,0.6
3000,0.1,1.2
3000,0.1,1.2
3000,0.1,1.2
3000,0.1,1.2
3000,0.1,1.2
3000,0.1,1.8
3000,0.1,1.8
3000,0.1,1.8
3000,0.1,1.8
3000,0.1,1.8
3000,0.2,0.6
3000,0.2,0.6
3000,0.2,0.6
3000,0.2,0.6
3000,0.2,0.6
3000,0.2,1.2
3000,0.2,1.2
3000,0.2,1.2
3000,0.2,1.2
3000,0.2,1.2
3000,0.2,1.8
3000,0.2,1.8
3000,0.2,1.8
3000,0.2,1.8
3000,0.2,1.8
3000,0.3,0.6
3000,0.3,0.6
3000,0.3,0.6
3000,0.3,0.6
3000,0.3,0.6
3000,0.3,1.2
3000,0.3,1.2
3000,0.3,1.2
3000,0.3,1.2
3000,0.3,1.2
3000,0.3,1.8
3000,0.3,1.8
3000,0.3,1.8
3000,0.3,1.8
3000,0.3,1.8
